"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1990 <= Year >= 2007""]"																																						
	1992	10	17	8	32	40.5			"COLOMBIA:  MURINDO, CALI"	6.845	-76.806	14	7						20	1		2		3							20	1		2		3		
	1992	10	18	15	11	59.1			"COLOMBIA:  MURINDO, APARTADO, MEDELLIN"	7.075	-76.862	10	7.4		11	1			115	2		2		2			11	1			115	2		2				
	1992	12	12	5	29	26.3	2214		"INDONESIA:  FLORES REGION, MAUMERE, BABI"	-8.48	121.896	28	7.8		1000	4			500	3	100	4	31785	4			2500	4			2103	4	100	4	31785	4		
	1993	1	15	11	6	5.9			"JAPAN:  HOKKADIO, KUSHIRO, HACHINOHE, HONSHU"	43.3	143.691	102	7.6	6	2	1					358	4					2	1					358	4				
	1993	1	26	20	32	6.9			"CHINA:  YUNNAN PROVINCE"	23.027	101.062	33	5.6						66	2		3	28417	4	28417	4					66	2		3	28417	4		
	1993	1	27	10	27	5.6			"IRAN:  NEHBANDAN"	32.104	60.088	33	5.1									1																
	1993	2	7	13	27	42	2215		"JAPAN:  HONSHU:  ISHIKAWA, TOYAMA, NIIGATA"	37.634	137.245	11	6.3									1																
	1993	3	12	14	1	35.4	5602		"FUTUNA ISLAND"	-14.385	-178.252	10	6.4		5	1			201			1					5	1			20	1		1		2		2
	1993	3	20	14	51	59.7			"CHINA:  TIBET (XIZANG PROVINCE): NGAMRING"	29.084	87.333	12	6.2		2	1			3	1		1					2	1			3	1		1				
	1993	3	25	13	34	35.4			"WASHINGTON-OREGON BORDER"	45.035	-122.607	21	5.6	7							28.4	4											28.4	4				
	1993	3	26	22	52	46.9			"IRAN:  BOVIR AHMADI VA KOHKILUYEH"	30.692	50.886	30	5.1									2																
	1993	4	18	9	16	23.2			"PERU:  LIMA"	-11.652	-76.53	106	6.3		6	1						1	30	1			6	1						1	30	1		
	1993	6	8	13	3	36.4	2218		"RUSSIA:  KAMCHATKA"	51.218	157.829	71	7.5									1																
	1993	6	18	11	52	54.8	5515		"KERMADEC ISLANDS"	-28.886	-176.819	20	6.6																									
	1993	6	22	16	32	43.7			"IRAN:  BOVIR AHMADI VA KOHKILUYEH"	30.149	50.814	33	5.4		24	1			49	1							24	1			49	1						
	1993	7	10	20	40	58.9			"COSTA RICA:  TURRIALBA, CARTAGO"	9.821	-83.622	20	5.8		2	1			9	1		1					2	1			9	1		1				
	1993	7	12	13	17	11.9	2219		"JAPAN:  HOKKAIDO; RUSSIA:  SOUTHEAST; SOUTH KOREA"	42.851	139.197	17	7.7	8	23	3			233	3	1207	4		3			231	3			233	3	1207	4	2374	4		
	1993	7	14	12	31	49.4			"GREECE:  PATRAS"	38.224	21.756	23	5.6									1																
	1993	8	1	0	20	40.5			"SUDAN:  KHARTOUM"	15.385	31.69	13	5.5		2	1			9	1		1					2	1			9	1		1				
	1993	8	7	19	42	41.9	2220		"JAPAN"	41.985	139.839	13	6.3																									
	1993	8	8	8	34	24.9	2221		"GUAM:  TUMAN BAY, APRA HARBOR"	12.982	144.801	59	7.8	9					48	1	250	4									48	1	250	4				
	1993	9	10	19	12	54.6			"GUATEMALA:  SOUTHWEST; MEXICO:  CHIAPAS"	14.717	-92.645	34	7.2		1	1			3	1		2					1	1			3	1		2				
	1993	9	21	3	28	55.4			"OREGON:  KLAMATH FALLS"	42.314	-122.012	11	6	7	2	1					7.5	3					2	1					7.5	3				
	1993	9	29	22	25	48.6			"INDIA:  LATUR-OSMANABAD, KILLARI"	18.066	76.451	7	6.2	8	11000	4			30000	4	300	4		4		4	11000	4			30000	4	300	4		4		4
	1993	10	13	2	6	0.3			"PAPUA NEW GUINEA:  EASTERN:  UPPER MARKHAM VALLEY"	-5.889	146.02	25	6.9		60	2			200	3	5	2					60	2			200	3	5	2				
	1993	10	20	16	15	59.6			"NEPAL: NW; INDIA:  UTTAR PRADESH"	28.723	82.28	37	5.1									1																
	1993	11	12	13	27	28.1			"INDIA:  LATUR"	18.12	76.533	10	4.6						25	1		1									25	1		1			100	2
	1993	11	13	1	18	4.1	2222		"RUSSIA:  KAMCHATKA"	51.934	158.647	34	7									1												1				
	1993	11	30	20	37	12.8			"CHINA:  SOUTHERN XINJIANG:  SHUFU"	39.263	75.533	18	5.6						4	1		1	100	1							4	1		1	100	2		
	1994	1	3	5	52	27.6			"CHINA:  QINGHAI PROVINCE:  GONGHE"	36.028	100.104	8	5.7						5	1		1	56	2	56	2					5	1		1	56	2		
	1994	1	16	1	49	16.2			"PENNSYLVANIA: READING, FELT TO CANADA"	40.33	-76.037	5	4.6	5								1												1				
	1994	1	17	12	30	55.3	2223		"CALIFORNIA:  NORTHRIDGE"	34.213	-118.537	18	6.7	9	60	2			7000	4	40000	4	40000	4			60	2			7000	4	40000	4	40000	4		
	1994	1	21	2	24	29.9	2224		"INDONESIA:  KAU"	1.015	127.733	20	7		9	1			300	3		2			550	3	9	1			300	3		2			550	3
	1994	2	3	9	5	4.2			"WYOMING:  AFTON"	42.762	-110.976	8	5.8	7								1												1				
	1994	2	5	23	34	9.9			"UGANDA:  FORT PORTAL, KASESE; ZAMBIA"	0.593	30.037	14	6.2		7	1				2	70	4					7	1				2	70	4				
	1994	2	15	17	7	43.8			"INDONESIA:  SOUTHERN SUMATERA, LIWA, LAMPUNG"	-4.967	104.302	23	6.9		207	3			2000	4	170.476	4	6000	4			207	3			2000	4	170.476	4	6000	4		
	1994	2	23	8	2	4.7			"IRAN:  SISTAN"	30.853	60.596	6	6.1		6	1				3	1.4	2					6	1				3	1.4	2				
	1994	3	1	3	49	0.8			"IRAN:  SOUTHERN:  FIRUZABAD"	29.096	52.617	13	6.1		2	1			50	1		1				1	2	1			50	1		1				1
	1994	3	2	3	38	3.8			"HAITI: SAINT-LOUIS DU NORD"	19.803	-72.799	59	5.4		4	1						1				1	4	1						1				1
	1994	3	9	23	28	6.7			"FIJI ISLANDS"	-18.039	-178.413	563	7.6																									
	1994	4	8	1	10	40.8	2226		"JAPAN:  OFF EAST COAST OF HONSHU ISLAND"	40.608	143.683	13	6.4																									
	1994	5	1	12	0	35.7			"AFGHANISTAN:  HINDU KUSH:  TASHIAK, TERMIZ"	36.901	67.163	19	6.1	6	160	3			330	3							160	3			330	3						
	1994	5	24	4	0	42.1	5428		"TAIWAN"	23.959	122.448	16	6.5	4																								
	1994	6	2	18	17	34	2227		"INDONESIA:  JAVA"	-10.477	112.835	18	7.8			1						1					238	3			423	3	2.2	2	1500	4		
