,Type,Year,Mo,Country,Latitude,Longitude,Total Deaths,Total Death Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Mag,Maximum Water Height (m)
219,EQ,1996.0,6.0,United States,51.564,-177.632,,,,,,,7.9,
220,EQ,1996.0,6.0,United States,51.478,-176.847,,,,,,,7.3,
221,EQ,1996.0,9.0,Japan,31.555,139.931,,,,,,,5.7,
222,EQ,1996.0,9.0,Chile,-22.118,-113.436,,,,,,,6.9,
223,EQ,1996.0,9.0,Croatia,42.803,17.936,,,,2.0,,3.0,6.0,
224,EQ,1996.0,9.0,Taiwan,21.898,121.498,,,,,,,6.8,
225,EQ,1996.0,10.0,Japan,30.568,131.093,,,,,,,6.6,
226,EQ,1996.0,10.0,Japan,31.885,131.468,,,,,,1.0,6.7,
227,EQ,1996.0,11.0,Peru,-14.993,-75.675,14.0,1.0,560.0,3.0,,4.0,7.7,
228,EQ,1996.0,12.0,Japan,31.789,131.314,,,,,,,6.7,
229,EQ,1997.0,1.0,Kyrgyzstan,41.026,74.284,,,,,,,5.8,
230,EQ,1997.0,1.0,Mexico,18.219,-102.756,1.0,1.0,,,,2.0,7.2,
231,EQ,1997.0,1.0,Albania,40.956,19.672,,,,,,,4.7,
232,EQ,1997.0,1.0,China,39.474,76.998,12.0,1.0,40.0,1.0,,3.0,5.9,
233,EQ,1997.0,2.0,Iran,37.661,57.291,88.0,2.0,1948.0,4.0,30.0,4.0,6.5,
234,EQ,1997.0,2.0,Pakistan,29.976,68.208,60.0,2.0,,3.0,,2.0,7.1,
235,EQ,1997.0,2.0,Iran,38.075,48.05,1100.0,4.0,2600.0,4.0,,4.0,6.1,
236,EQ,1997.0,3.0,China,39.422,76.839,2.0,1.0,6.0,1.0,,3.0,5.6,
237,EQ,1997.0,3.0,Pakistan,34.872,71.62,15.0,1.0,,,,1.0,4.9,
238,EQ,1997.0,3.0,Japan,31.92,130.429,,,,,,,6.1,
239,EQ,1997.0,4.0,China,39.513,76.865,,,23.0,1.0,,3.0,5.9,
240,EQ,1997.0,4.0,China,39.537,76.998,,,,,,3.0,6.0,
241,EQ,1997.0,4.0,China,39.527,76.941,9.0,1.0,89.0,2.0,,4.0,6.2,
242,EQ,1997.0,4.0,Solomon Islands,-12.584,166.676,,,,,,1.0,7.7,
243,EQ,1997.0,4.0,TOBAGO,11.112,-60.892,,,2.0,1.0,25.0,4.0,6.7,
244,EQ,1997.0,4.0,Guam,13.986,144.901,,,4.0,1.0,,1.0,6.5,
245,EQ,1997.0,5.0,Iran,33.825,59.809,1728.0,4.0,2300.0,4.0,100.0,4.0,7.2,
246,EQ,1997.0,5.0,Afghanistan,36.411,70.945,1.0,1.0,11.0,1.0,,2.0,6.4,
247,EQ,1997.0,5.0,India,23.083,80.041,56.0,2.0,1000.0,4.0,143.0,4.0,5.8,
248,EQ,1997.0,6.0,Iran,33.938,59.475,,,,,,3.0,5.9,
249,EQ,1997.0,7.0,Venezuela,10.598,-63.486,81.0,2.0,522.0,3.0,81.0,4.0,7.0,
250,EQ,1997.0,7.0,South Africa,-26.857,26.619,15.0,1.0,46.0,1.0,,,5.0,
251,EQ,1997.0,8.0,Indonesia,4.358,96.494,,,,,,2.0,6.0,
252,EQ,1997.0,9.0,Italy,43.048,12.879,,,,,,1.0,5.7,
253,EQ,1997.0,9.0,Italy,43.084,12.812,14.0,1.0,100.0,2.0,4524.9,4.0,6.0,
254,EQ,1997.0,9.0,Indonesia,-3.776,119.727,20.0,1.0,300.0,3.0,1.1,2.0,5.9,
255,EQ,1997.0,9.0,Japan,31.959,141.878,,,,,,,6.2,
256,EQ,1997.0,10.0,Tonga,-22.101,-176.772,,,,,,,7.7,
257,EQ,1997.0,10.0,Chile,-30.933,-71.22,8.0,1.0,300.0,3.0,48.0,4.0,7.1,
258,EQ,1997.0,11.0,China,35.069,87.325,,,,,,,7.5,
259,EQ,1997.0,11.0,Greece,37.57,20.656,,,,,,,6.6,
260,EQ,1997.0,11.0,Bangladesh,22.212,92.702,23.0,1.0,200.0,3.0,,1.0,6.1,
261,EQ,1997.0,11.0,Indonesia,1.241,122.536,,,,,,,7.0,
262,EQ,1997.0,12.0,Russia,54.841,162.035,,,,,,,7.8,
263,EQ,1998.0,1.0,China,41.083,114.5,70.0,2.0,11500.0,4.0,285.5,4.0,5.7,
264,EQ,1998.0,1.0,Guatemala,14.374,-91.473,,,27.0,1.0,,1.0,6.6,
265,EQ,1998.0,2.0,Mexico,15.883,-96.298,,,,,,2.0,6.3,
266,EQ,1998.0,2.0,Afghanistan,37.075,70.089,2323.0,4.0,818.0,3.0,,4.0,5.9,
267,EQ,1998.0,2.0,Afghanistan,36.479,71.086,1.0,1.0,11.0,1.0,,2.0,6.4,
268,EQ,1998.0,3.0,Iran,30.154,57.605,5.0,1.0,50.0,1.0,,3.0,6.6,
269,EQ,1998.0,3.0,China,39.977,76.731,,,,,,1.0,5.6,
270,EQ,1998.0,3.0,BALLENY ISLANDS,-62.877,149.527,,,,,,,8.1,
271,EQ,1998.0,4.0,Italy,43.164,12.701,,,5.0,1.0,,1.0,5.2,
272,EQ,1998.0,4.0,Iran,32.457,59.976,12.0,1.0,10.0,1.0,,2.0,5.8,
273,EQ,1998.0,4.0,Austria,46.245,13.652,1.0,1.0,,,,2.0,5.7,
274,EQ,1998.0,5.0,Taiwan,22.306,125.308,,,,,,,7.5,
275,EQ,1998.0,5.0,Bolivia,-17.731,-65.431,105.0,3.0,150.0,3.0,,3.0,6.6,
276,EQ,1998.0,5.0,China,37.388,78.843,,,28.0,1.0,,3.0,5.6,
277,EQ,1998.0,5.0,Afghanistan,37.106,70.11,4700.0,4.0,,4.0,10.0,3.0,6.6,
